linja,operaattori,suunnitellut,ajettu,luotettavuus
736,Koiviston Auto,29,29,100.0
736B,Koiviston Auto,3,3,100.0
739,Koiviston Auto,38,38,100.0
81,Nobina Finland,114,114,100.0
82,Nobina Finland,87,87,100.0
82B,Nobina Finland,11,11,100.0
83,Nobina Finland,43,43,100.0
831,Pohjolan Liikenne,14,14,100.0
831K,Pohjolan Liikenne,16,16,100.0
84,Nobina Finland,97,97,100.0
841,Pohjolan Liikenne,19,19,100.0
842,Pohjolan Liikenne,16,16,100.0
843,Pohjolan Liikenne,1,1,100.0
844,Pohjolan Liikenne,14,14,100.0
85,Nobina Finland,67,67,100.0
85K,Nobina Finland,35,35,100.0
85N,Nobina Finland,11,11,100.0
86,Nobina Finland,87,87,100.0
86K,Nobina Finland,11,11,100.0
86N,Nobina Finland,4,4,100.0
87,Nobina Finland,86,86,100.0
87N,Nobina Finland,9,9,100.0
88,Nobina Finland,95,95,100.0
89,Nobina Finland,87,87,100.0
90,Koiviston Auto,95,95,100.0
904,Pohjolan Liikenne,8,8,100.0
90A,Koiviston Auto,3,3,100.0
90N,Koiviston Auto,12,12,100.0
92,Koiviston Auto,93,93,100.0
92N,Koiviston Auto,13,13,100.0
94,Koiviston Auto,92,92,100.0
78N,Nobina Finland,36,36,100.0
79,Nobina Finland,139,139,100.0
79N,Pohjolan Liikenne,7,7,100.0
80,Nobina Finland,97,97,100.0
95N,Koiviston Auto,8,8,100.0
95,Koiviston Auto,94,94,100.0
94N,Koiviston Auto,14,14,100.0
94A,Koiviston Auto,115,115,100.0
973,Pohjolan Liikenne,60,60,100.0
975,Pohjolan Liikenne,44,44,100.0
96N,Koiviston Auto,10,10,100.0
96,Koiviston Auto,95,95,100.0
976,Pohjolan Liikenne,46,46,100.0
975N,Pohjolan Liikenne,2,2,100.0
978K,Pohjolan Liikenne,18,18,100.0
97N,Koiviston Auto,10,10,100.0
97V,Koiviston Auto,95,95,100.0
98,Koiviston Auto,90,90,100.0
985,Pohjolan Liikenne,28,28,100.0
995,Pohjolan Liikenne,1,1,100.0
